bedrooms,bathrooms,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,sqft_living15,sqft_lot15,price,house_age
3,1.75,1.5,0,0,4,7,1640,0,98004,1670,12154,775000,69
2,1.5,1.0,0,0,5,6,1040,0,98155,1310,8504,343000,62
4,2.5,2.0,0,0,3,8,2320,0,98028,2090,5721,470101,29
3,1.5,1.0,0,0,4,7,1200,0,98002,1390,8415,195000,57
4,1.0,1.5,0,2,3,7,1720,0,98117,2140,4500,772500,87
3,1.5,1.0,0,0,3,8,1330,1000,98155,2630,11740,450000,61
4,3.75,3.0,0,3,3,11,4410,0,98118,2160,6600,1440000,14
4,1.75,1.0,0,0,3,8,1650,0,98052,1700,8560,525000,45
3,1.5,2.0,0,0,3,7,1370,0,98045,1390,9600,280000,35
3,2.5,1.0,0,0,3,7,1420,350,98001,1894,7974,270000,29
3,2.25,3.0,0,0,3,8,1410,0,98103,1430,1448,406100,10
2,1.75,1.0,0,0,3,7,1710,0,98055,1760,4084,332544,28
2,1.0,1.0,0,0,3,6,790,0,98188,900,8250,110000,68
6,2.25,1.5,0,0,3,8,2120,650,98112,2300,5450,685000,94
4,1.0,1.5,0,0,5,7,1260,0,98177,1480,8100,461000,64
3,2.25,1.0,0,0,4,8,1300,1000,98034,2120,9524,615000,36
2,1.0,1.0,0,0,4,7,870,200,98103,1890,3300,550000,89
4,3.5,2.0,0,1,3,11,2430,1420,98033,2620,9346,1060000,20
3,2.5,2.0,0,0,4,8,2320,0,98053,2340,88862,685000,22
5,2.5,2.0,0,0,4,8,2870,0,98039,2870,16238,1560000,53
4,2.5,2.0,0,0,3,7,1830,0,98038,1830,5175,312000,12
3,1.75,1.0,0,0,3,8,1190,800,98052,1930,9765,507500,38
3,1.0,1.0,0,0,3,7,1110,0,98198,1540,10187,217000,49
3,2.25,1.0,0,3,4,7,1170,660,98034,1960,11344,439000,34
6,3.5,2.0,0,0,3,8,2740,860,98065,3150,6663,620000,11
4,2.5,2.0,0,0,3,10,3210,0,98007,2950,6753,915000,17
4,2.0,1.0,0,0,3,7,1110,380,98144,1330,1499,425000,38
2,1.0,1.0,0,0,3,7,870,120,98115,1280,5700,435000,68
3,2.25,2.0,0,0,3,7,1646,0,98038,1654,8734,305000,19
2,1.0,1.0,0,0,3,6,720,0,98106,1630,4000,276000,97
3,2.25,2.0,0,0,3,8,2310,0,98031,1960,7201,327500,25
3,2.5,2.0,0,0,3,9,2670,0,98033,2620,8895,810000,12
3,3.25,2.0,0,0,3,10,2460,600,98052,2990,9598,715000,21
3,1.5,1.0,0,0,4,7,1380,0,98055,1650,9855,272000,52
2,1.0,1.0,0,0,5,6,700,0,98155,1230,8100,266000,66
3,1.5,2.0,0,2,3,7,1710,0,98136,2430,9040,543000,71
3,2.5,1.0,0,0,3,8,1450,0,98074,1710,9554,400000,31
5,2.25,1.0,0,0,4,7,1320,740,98007,2050,8800,509500,54
3,3.5,2.0,0,3,3,8,1670,710,98118,2540,4010,495000,18
4,2.5,2.0,0,0,3,7,2760,0,98056,2670,5626,424950,14
3,1.0,1.0,0,0,3,7,940,0,98056,1250,11200,230000,58
4,1.5,1.5,0,0,3,7,1760,0,98031,1760,8276,235000,64
3,2.0,1.0,0,2,4,6,1360,0,98033,2530,7680,763000,73
3,1.75,2.0,0,0,5,7,2010,0,98178,1770,7380,350000,76
3,1.5,2.0,0,2,5,8,1620,540,98119,2570,2400,900000,98
3,1.0,1.0,0,0,4,6,930,0,98118,1640,6364,250000,42
3,2.5,2.0,0,0,3,7,720,300,98106,1060,1478,225000,11
2,2.0,1.0,0,0,3,8,1360,0,98198,1160,5264,255000,41
4,1.75,1.0,0,0,3,7,1220,500,98023,1790,7200,161700,41
3,3.0,1.0,0,0,3,7,1190,600,98178,1740,10624,336000,27
3,1.0,1.0,0,0,3,7,1150,0,98133,1210,6800,410500,61
4,3.5,2.0,0,0,4,8,2710,0,98155,1590,27903,502700,47
3,2.5,1.0,0,0,5,7,1390,1010,98034,2010,9943,505000,38
3,1.0,1.5,0,0,3,7,1350,310,98118,1750,5760,250000,105
3,1.0,1.5,0,0,3,7,1350,310,98118,1750,5760,570000,105
4,2.5,2.0,0,0,3,8,2290,0,98198,2130,8796,349900,21
3,2.5,2.0,0,0,3,10,2870,0,98003,2950,24347,465000,27
4,3.25,2.0,0,3,3,10,3550,690,98023,3590,24967,625000,26
3,1.75,1.0,0,0,3,7,1170,630,98199,1720,5102,655000,63
4,1.75,1.0,0,0,4,8,1570,1390,98166,1660,8911,469000,69
3,2.25,1.0,0,0,3,8,1300,680,98177,1820,8250,355000,51
3,2.5,2.0,0,0,3,8,1730,0,98005,1730,2751,596000,14
4,2.5,2.0,0,0,3,9,3020,0,98077,3020,36444,790000,29
4,2.25,2.0,0,0,3,10,4470,0,98053,3850,97049,885000,24
4,3.25,2.0,0,0,3,9,1910,920,98144,2740,4000,1030000,103
4,1.75,1.0,0,0,4,8,1060,1060,98199,2052,6000,710000,74
3,2.5,2.0,0,0,3,8,2150,0,98028,2150,12550,428040,27
5,2.25,1.0,0,2,3,8,1850,1660,98040,2680,8750,1370000,56
2,1.0,1.0,0,0,3,7,970,0,98109,1180,3600,546000,91
4,1.0,1.5,0,0,5,7,1360,0,98115,1500,5704,540000,64
3,2.5,1.0,0,0,3,7,930,540,98115,1470,5588,435000,30
4,2.25,1.0,0,0,4,8,1430,1610,98074,1870,11074,540000,31
2,1.0,1.0,0,0,3,7,860,0,98106,1200,7500,284000,97
2,1.0,1.0,0,0,5,5,820,0,98056,1000,5700,208000,73
3,1.75,1.0,0,0,3,7,1130,770,98155,1540,10113,315000,38
2,1.0,1.0,0,0,3,6,850,480,98117,1200,4150,417500,105
3,1.75,1.0,0,0,3,7,1240,0,98053,2060,38552,345000,37
3,2.5,3.0,0,0,3,8,1330,0,98117,1330,1113,375000,11
3,1.75,1.0,0,0,3,7,1880,0,98155,1540,12868,389800,56
3,1.75,1.0,0,0,3,8,1430,460,98034,1890,9095,475000,42
4,2.25,2.0,0,0,3,8,2250,0,98053,2350,37920,569000,35
5,4.25,2.0,0,0,3,10,3260,1390,98024,2810,155509,985000,16
3,2.5,2.0,0,0,3,8,1830,0,98074,2030,7736,532000,28
2,1.0,1.0,0,0,5,6,720,0,98126,810,5000,280000,64
4,2.0,1.0,0,0,4,7,1050,910,98058,2340,44967,435000,52
3,1.0,1.0,0,0,3,6,1220,0,98023,1960,15378,223000,63
2,1.0,1.0,0,0,4,7,1200,600,98027,2320,79208,390000,68
3,1.75,1.0,0,0,3,7,880,460,98058,1500,7875,315000,34
3,3.0,1.0,0,0,3,7,1740,0,98122,1830,2480,612000,33
3,1.75,1.0,0,0,5,7,870,810,98122,1440,3600,591000,93
4,2.25,2.0,0,0,3,8,3220,0,98008,2500,7632,800000,47
3,2.0,1.0,0,0,3,8,1610,0,98022,1930,8459,225000,25
2,3.0,2.0,0,0,3,7,3160,0,98077,3140,38790,589900,22
4,2.5,1.0,0,0,3,8,1520,1000,98052,2050,10940,565000,36
3,1.5,1.0,0,0,3,7,1060,1060,98199,1620,7920,650000,75
3,2.5,2.0,0,0,3,8,2090,0,98177,1640,8100,499000,64
3,1.0,1.5,0,0,3,5,1330,0,98045,1350,20562,280000,56
3,2.5,1.0,0,2,4,8,1210,1210,98117,2340,7500,649950,71
3,1.75,1.0,0,0,4,7,1510,0,98133,1480,7260,420000,61
4,2.5,2.0,0,0,3,7,2120,0,98031,1990,5313,319990,12
3,2.0,1.0,0,0,3,7,1850,0,98014,1528,13295,265000,23
3,1.75,1.0,0,0,3,7,1220,1080,98072,1940,15601,482000,31
3,2.25,1.0,0,2,4,8,1490,1110,98166,2450,16715,452000,59
4,4.25,2.0,0,3,3,12,4280,900,98006,5030,15069,1490000,17
2,1.0,1.5,0,0,4,7,1810,0,98133,1490,6800,375000,72
5,3.0,2.0,0,0,5,7,1490,700,98117,1370,4606,588000,75
4,2.5,2.0,0,0,3,9,2500,0,98075,2890,10240,635000,17
4,2.5,2.0,0,0,3,8,1890,0,98092,2170,6803,280500,18
2,1.75,1.0,0,0,4,6,1430,610,98003,1310,7859,210500,30
3,2.0,1.0,0,0,4,7,1310,0,98023,1390,7500,196500,36
5,3.5,2.0,0,1,5,9,2850,1160,98105,2610,6128,1400000,44
3,1.75,1.0,0,0,2,7,1210,570,98034,1630,7508,475000,38
3,2.5,2.0,0,0,4,8,1980,0,98074,1930,8869,550000,28
3,3.25,2.0,0,0,3,11,3690,0,98033,1880,7200,1580000,8
3,1.75,1.0,0,0,3,7,1200,340,98022,1540,7242,240000,24
3,1.0,1.5,0,0,3,6,1130,0,98168,1080,8100,272000,81
3,2.75,1.5,0,0,3,8,1870,610,98010,2040,219229,408506,15
3,2.5,2.0,0,0,3,9,2580,0,98116,910,6500,640000,24
4,2.5,2.0,0,0,3,8,2010,0,98092,2160,7696,316000,20
4,2.0,1.0,0,0,3,7,1720,600,98108,1390,6000,299000,72
2,2.25,2.0,0,0,3,7,1180,0,98122,1550,2812,447500,11
4,2.5,2.0,0,3,3,9,3180,0,98059,3715,29170,736500,15
4,2.0,2.0,0,0,3,8,2970,0,98072,3280,46676,665000,91
5,2.5,1.0,0,0,4,8,1590,1460,98006,2550,10826,707000,40
4,1.75,1.0,0,0,3,7,1630,0,98031,1630,7700,215000,56
3,2.25,2.0,0,0,4,7,1620,0,98038,1640,7253,275000,26
4,2.25,2.0,0,1,4,8,2170,0,98006,2600,9898,648000,32
4,2.5,2.0,0,0,3,8,2150,0,98059,2080,7620,415000,28
3,2.0,3.0,0,0,3,8,1770,0,98122,1890,3200,690000,16
4,2.75,1.0,0,0,4,7,1290,820,98058,1980,11016,320000,36
3,1.75,1.0,0,0,4,8,1590,0,98004,1970,8970,750000,59
3,2.25,3.0,0,0,3,8,1370,0,98103,1370,1418,355000,10
3,1.75,1.0,0,0,4,7,1390,0,98031,1460,7800,246000,40
3,1.75,1.0,0,2,4,8,1640,0,98004,2630,18872,1160000,47
3,2.5,2.0,0,0,3,8,2670,0,98052,2400,8999,744000,29
3,3.75,2.0,0,0,3,11,5400,0,98053,1690,20000,1210000,18
3,2.0,1.0,0,0,3,7,1210,480,98023,1930,7350,217000,38
3,2.5,2.0,0,1,3,8,2600,0,98056,2270,5400,583000,17
2,1.5,1.0,0,0,4,7,1150,250,98107,1530,4200,515000,111
4,1.75,1.0,0,0,4,8,1410,730,98007,2080,8000,594000,50
3,1.5,1.0,0,0,3,8,1640,0,98178,1640,5650,303100,63
3,1.75,1.0,0,0,4,7,1020,700,98075,1860,13588,430000,45
5,3.25,2.0,0,0,3,8,3060,0,98034,1840,10403,708000,11
3,1.0,1.0,0,0,3,7,1150,0,98133,1200,7888,221000,56
3,2.5,2.0,0,0,3,8,2000,0,98003,2180,7611,325000,17
3,1.75,1.0,0,0,4,6,780,780,98125,1320,7830,385000,71
3,2.5,2.0,0,0,3,8,2070,0,98038,1880,4593,359500,2
3,2.0,1.0,0,0,3,7,1300,620,98028,2010,7200,433000,31
2,1.0,1.0,0,0,3,7,800,200,98116,1060,5500,525000,67
3,2.0,1.0,0,2,5,7,940,750,98178,2390,6650,356200,87
4,2.0,1.0,0,0,4,7,1590,1500,98072,2560,88426,595000,41
4,1.5,1.0,0,0,4,7,1020,770,98103,1680,3420,560000,92
4,3.0,1.5,0,0,5,11,4750,0,98004,3120,18551,2180000,39
4,2.0,1.0,0,0,3,7,1480,610,98107,1510,5000,513000,64
2,1.0,1.0,0,0,4,5,680,0,98117,1120,5100,365000,114
4,1.75,1.0,0,0,3,7,1030,1070,98106,1170,6986,368000,51
4,2.75,1.5,0,0,5,8,1960,880,98144,2750,4000,870000,103
3,2.25,1.0,0,0,3,7,1160,310,98023,1570,7881,225000,31
4,4.5,2.0,0,2,3,11,3800,690,98006,3370,32700,1390000,17
3,1.75,1.0,0,0,4,7,1150,0,98030,1540,7399,177000,32
3,1.5,1.0,0,0,3,7,1460,0,98008,1610,10050,465000,59
4,2.75,1.0,0,3,3,8,1810,1340,98126,2250,6343,750000,39
3,1.0,1.0,0,0,3,6,1090,0,98092,1040,2960,149000,46
3,2.5,2.0,0,3,3,9,2670,0,98072,2760,42800,605000,34
3,2.0,1.5,0,0,4,7,1990,120,98103,1620,4300,725000,88
4,2.25,2.0,0,0,3,7,1770,0,98056,2470,5064,413900,8
3,1.5,1.0,0,0,3,6,1510,0,98168,990,6600,199950,77
1,1.0,1.0,0,0,4,6,530,0,98053,1930,20624,400000,66
3,1.5,2.0,0,0,4,8,2200,220,98103,2070,5000,870000,90
5,2.5,1.0,0,0,4,7,1490,1000,98031,1930,7415,292000,26
3,1.0,1.0,0,0,4,7,990,0,98058,1260,9060,225000,49
4,2.0,2.0,0,0,3,8,1730,0,98125,1410,7311,466750,58
2,1.5,1.0,0,0,4,8,1440,0,98002,1460,9730,330000,37
7,2.25,2.0,0,0,5,8,3260,0,98008,2340,8145,770000,48
4,2.25,1.0,0,1,3,8,1450,500,98118,1840,6440,802500,58
5,2.5,2.0,0,0,3,8,2740,0,98031,2900,5476,378800,10
3,2.75,2.0,0,0,3,10,2940,0,98075,3110,10837,795000,18
3,2.0,1.0,0,0,3,7,1200,0,98115,1750,8220,460000,60
3,2.5,2.0,0,0,3,8,2070,0,98029,2220,10975,567000,29
3,1.75,1.0,0,0,3,7,1570,0,98023,2000,28200,209950,34
2,1.0,1.0,0,0,4,7,1050,0,98001,1380,27442,415000,72
4,1.5,1.0,0,0,3,7,1080,750,98028,1650,9501,424500,48
2,1.0,1.0,0,0,3,6,970,0,98168,1280,6250,261000,74
3,2.5,2.0,0,0,3,8,2200,0,98031,2200,9915,365000,28
4,2.0,1.5,0,0,4,7,1930,0,98122,1480,3600,631000,104
5,5.5,1.0,0,2,4,13,4320,2730,98004,5070,20570,3800000,37
3,2.5,2.0,0,0,3,8,1790,0,98117,1340,3960,584000,23
3,1.75,1.0,0,0,3,7,1560,0,98070,2100,205603,310000,41
4,2.5,2.0,0,0,4,10,2780,0,98029,2650,8094,717000,23
3,1.5,2.0,0,0,3,8,1720,0,98107,2210,8100,667000,108
3,1.0,1.0,0,0,3,6,1040,600,98146,1600,8100,190000,76
3,2.0,1.0,0,0,3,8,1370,360,98027,2390,10000,430000,37
2,1.0,1.0,0,0,4,6,740,0,98188,1500,10075,213000,64
3,2.5,1.0,0,0,3,8,1550,730,98072,2030,3710,475000,25
2,2.75,2.0,0,3,4,8,2090,0,98070,1820,32340,649000,27
3,2.5,2.0,0,0,3,9,2550,0,98006,3180,13458,715000,25
4,3.5,1.0,0,0,3,11,2460,890,98075,3360,19460,845000,23
3,2.5,1.0,0,0,3,7,1900,870,98038,1850,10920,390000,35
4,3.0,1.0,0,0,3,7,1730,1130,98108,2340,7200,390000,32
4,1.75,1.0,0,0,4,8,1400,590,98058,1820,7400,328000,37
3,2.75,1.0,0,0,3,7,1140,600,98003,1550,8436,239999,48
3,2.0,1.0,0,0,3,7,1460,0,98003,1540,7644,225000,47
3,1.75,1.0,0,2,4,9,1950,1720,98006,3020,9747,920000,36
4,2.75,2.0,0,0,3,10,3270,0,98052,3380,10154,940000,20
3,1.0,1.0,0,0,4,6,1210,0,98118,1070,4872,465000,66
3,2.0,1.0,0,0,3,7,1770,0,98001,1510,10462,241000,29
4,2.5,2.0,0,0,3,8,1980,0,98031,2550,5487,307550,12
4,2.5,1.0,0,3,4,8,1610,1040,98028,2650,9221,490000,39
4,2.5,2.0,0,0,3,8,3040,0,98074,2790,7196,647000,16
4,2.75,1.5,0,0,3,10,3640,0,98027,2670,91040,780000,16
3,2.5,2.0,0,0,3,8,1810,0,98029,1740,4332,517500,23
3,2.0,1.0,0,0,4,7,1380,0,98148,1410,10594,295000,49
4,1.5,2.0,0,0,3,8,1810,0,98112,1770,3600,560000,89
5,2.0,1.5,0,0,5,7,1750,500,98002,1540,5472,319450,85
4,3.25,2.0,0,1,3,9,2870,990,98115,2940,9600,1500000,10
4,3.0,1.0,0,0,3,8,1500,880,98023,2370,15440,340000,16
3,1.0,1.0,0,0,4,6,1370,0,98058,1080,9198,249950,57
3,1.0,1.5,0,0,3,7,1430,400,98103,1510,2500,499950,89
4,1.75,1.0,0,0,4,8,1440,0,98004,3520,10802,1040000,48
4,2.5,1.0,0,2,4,9,1540,970,98052,2370,14621,750000,38
4,2.5,2.0,0,0,3,9,3230,0,98053,3080,217800,875000,9
3,1.75,1.0,0,0,5,8,1670,0,98008,2200,7210,678000,48
2,1.0,1.0,0,0,3,6,780,0,98118,1620,6000,360000,95
3,1.0,1.0,0,0,4,7,1720,0,98059,1550,15457,354900,44
5,2.5,1.0,0,0,3,8,1520,740,98008,2500,9440,632000,48
3,1.75,1.0,0,0,4,7,1480,0,98146,1370,9000,350000,58
3,4.0,2.0,0,2,3,8,2050,500,98199,2340,6400,990000,75
4,3.25,3.0,0,3,3,11,3920,0,98024,2970,112384,1650000,13
4,2.5,2.0,0,0,3,8,2286,0,98056,2110,4711,481000,13
3,2.5,1.0,0,0,5,7,900,600,98136,1090,5412,485000,95
3,2.5,2.0,0,0,3,8,1740,0,98029,1740,5021,477000,23
5,2.5,1.0,0,0,5,8,1440,1440,98006,2010,9000,560000,49
6,3.0,1.0,0,0,4,8,1340,1260,98008,2090,9102,600000,52
5,2.75,2.0,0,0,4,8,2190,1130,98072,2520,36720,622500,40
2,2.25,2.0,0,0,4,8,1660,0,98028,1640,2128,410000,41
3,2.5,2.0,0,0,3,7,1990,0,98038,2580,3800,318200,5
3,2.0,1.0,0,0,3,7,1680,0,98022,1990,8545,289000,22
3,1.75,2.0,0,0,3,7,1570,0,98031,1580,8622,263000,33
3,1.0,1.0,0,0,4,6,1150,0,98027,1760,7121,240000,58
3,1.0,1.0,0,0,3,7,1270,0,98146,1340,3000,281500,62
3,3.5,2.0,0,0,3,8,1640,250,98103,1680,1562,587206,16
2,2.25,2.0,0,0,3,7,1180,170,98102,1760,3360,482000,15
3,1.75,1.0,0,0,3,8,1650,0,98052,1880,9375,485000,48
3,2.5,2.0,0,0,3,7,1450,0,98014,2080,87991,309000,25
3,2.25,1.0,0,0,3,7,1140,500,98003,1480,8041,221000,31
3,2.5,2.0,0,0,4,9,2030,0,98008,2450,8104,700000,40
5,3.0,1.0,0,0,5,7,1360,1060,98106,1840,6780,411500,86
4,3.5,2.0,0,0,3,8,2770,0,98133,1760,10505,285000,75
4,3.0,1.0,0,0,4,7,1160,820,98133,1910,7931,395000,32
2,1.75,1.0,0,0,4,7,1460,0,98042,1680,8206,237950,28
3,2.5,1.0,0,2,4,7,1160,450,98033,2260,8328,680000,34
2,1.0,1.0,0,0,3,6,1010,0,98023,1040,8591,199950,54
4,3.5,2.0,0,2,3,8,2000,760,98126,1690,4000,765000,89
2,1.0,1.0,0,0,3,7,1060,0,98103,1420,4960,515000,89
3,1.5,1.0,0,0,4,7,1510,0,98007,1430,8000,470000,59
2,1.0,1.0,0,0,3,6,780,100,98117,950,4000,330000,78
3,2.5,1.0,0,0,3,8,1550,600,98188,1950,9100,284000,47
3,2.5,1.0,0,0,3,7,1150,510,98148,1250,8125,295000,16
4,2.5,1.0,0,0,4,8,1440,720,98074,1280,11617,555000,34
3,1.0,1.5,0,0,3,6,1370,0,98125,1560,8250,350000,66
3,2.25,1.0,0,0,3,7,1140,320,98023,1490,6031,240000,29
3,1.5,1.0,0,0,3,7,1450,0,98007,1490,7245,419900,60
3,2.0,1.0,0,0,3,7,1560,0,98126,1620,6300,528000,91
4,2.5,1.0,0,0,4,8,1240,1240,98028,2230,10310,481000,52
2,1.0,1.0,0,0,4,7,740,0,98133,1140,5995,304700,66
4,2.5,2.0,0,0,3,10,2927,0,98075,2967,12166,715000,17
4,2.75,1.0,0,0,4,8,2260,0,98005,1870,10800,738950,59
3,1.5,1.0,0,0,4,7,1240,0,98042,2260,7611,215000,49
6,2.0,1.0,0,0,4,5,2040,0,98056,1440,10200,300000,72
3,1.75,1.0,0,0,3,6,880,390,98146,1650,8173,346000,65
4,3.5,2.0,0,3,3,8,2780,1590,98022,2860,39356,473000,19
3,1.75,1.0,0,0,3,7,1700,0,98116,1330,6120,500000,63
2,1.5,1.0,0,2,3,7,1300,0,98122,1420,1676,750000,72
4,2.0,1.0,0,0,4,8,1820,0,98052,2260,9299,519900,48
2,1.0,1.0,0,0,4,7,880,0,98125,2260,12769,378500,66
3,1.75,1.0,0,0,4,8,1870,0,98003,1950,12667,314500,58
3,1.5,1.0,0,0,3,7,1350,0,98052,1840,9920,499950,47
5,3.5,2.5,0,3,5,10,3650,1220,98144,3220,7700,1740000,86
3,2.5,2.0,0,0,3,9,2460,0,98077,2470,51400,630000,16
4,1.5,1.0,0,0,3,7,1720,0,98125,1430,6240,360000,62
2,1.5,1.0,0,0,4,8,1570,1160,98019,1450,19509,460000,39
3,1.0,1.5,0,4,4,6,1100,0,98198,2550,7847,361000,93
3,2.25,1.0,0,0,4,8,1810,0,98040,1900,10083,713400,56
2,1.0,1.0,0,0,5,6,930,0,98115,1900,5000,445000,97
4,1.5,1.0,0,3,4,7,1590,0,98022,2280,108028,305000,49
3,2.75,1.5,0,4,3,9,1480,1230,98177,2960,10080,1430000,40
3,1.0,1.0,0,0,4,6,1460,0,98023,1060,8563,222000,53
5,3.25,2.0,0,0,3,8,2740,660,98065,3400,6163,510000,10
5,3.0,2.0,0,0,3,8,2920,0,98133,1720,9348,500000,12
2,1.0,1.0,0,0,4,7,910,0,98119,1720,3600,605000,106
3,2.0,2.0,0,0,3,8,1320,0,98074,1910,13639,393000,34
4,2.5,2.0,0,0,4,9,2490,0,98052,2490,5170,725000,15
3,1.75,1.0,0,0,3,7,1270,950,98028,1490,10003,320000,65
4,1.5,1.0,0,0,4,7,1130,0,98023,1690,7840,210000,45
4,2.5,2.0,0,0,3,9,2750,0,98038,2800,5376,419900,10
4,2.5,2.0,0,0,3,7,2240,0,98059,2000,3800,410000,9
3,2.25,1.0,0,1,3,8,1540,1140,98116,2140,7560,721000,52
2,2.0,1.5,0,0,4,8,1270,0,98122,1870,4400,605000,94
3,1.75,1.5,0,0,5,7,1520,0,98116,2310,5500,738000,79
6,3.0,2.0,0,0,3,8,2480,0,98007,2220,8580,725000,43
2,1.0,1.0,0,0,3,7,960,0,98045,1240,9752,255000,38
3,2.25,3.0,0,0,3,8,1340,0,98133,1340,1186,303000,6
3,2.5,1.0,0,0,4,7,1090,0,98008,1740,7700,394950,58
4,3.0,2.0,0,0,5,7,1830,410,98118,1530,4800,530000,66
4,2.5,1.0,0,0,3,10,2260,1480,98058,2650,6333,475000,11
4,2.5,2.0,0,0,3,7,1800,0,98038,1590,8100,250000,17
3,1.0,1.0,0,0,2,6,780,0,98118,1260,3540,180000,95
2,1.0,1.0,0,0,4,7,930,400,98115,1410,5100,443500,96
4,2.0,1.0,0,0,3,8,1900,0,98042,1740,34848,390000,11
4,1.75,1.0,0,0,3,7,1100,470,98052,1580,7650,430000,40
5,4.5,2.0,0,0,3,8,3100,0,98059,1650,7700,460000,52
3,3.5,2.0,0,0,3,9,2190,550,98034,2060,3457,660000,14
3,1.75,1.0,0,0,3,8,1200,370,98052,1760,10200,515000,41
3,2.0,1.0,0,0,4,7,1330,0,98125,1580,7202,482500,61
2,1.5,2.0,0,0,3,7,1140,0,98029,1150,2981,305000,27
4,2.75,1.5,0,0,3,9,1550,0,98105,2120,4000,835000,85
3,2.0,1.0,0,0,3,7,1290,0,98030,1670,7280,237000,17
2,1.5,2.0,0,0,4,8,1510,0,98007,1510,2055,445000,30
4,2.5,1.0,0,0,4,7,1360,1360,98136,1790,8000,710000,60
3,1.0,1.0,0,0,4,5,840,0,98038,1430,12600,180000,70
3,2.5,2.0,0,0,3,8,1850,0,98022,2350,8606,280017,19
4,2.5,2.0,0,0,4,8,2290,0,98058,2290,10404,436500,27
4,2.5,2.0,0,0,3,9,3200,0,98105,1650,6850,1260000,9
3,2.25,1.0,0,0,4,7,1300,500,98028,1680,9545,420000,56
3,1.0,1.0,0,0,3,6,860,0,98178,1280,7467,205000,71
3,1.5,1.0,0,0,4,7,1680,300,98010,1980,13664,570000,69
4,1.75,1.0,0,0,4,7,1070,1070,98177,1950,7102,565000,67
2,2.5,1.0,0,0,3,7,1550,860,98023,1840,8800,287000,37
4,1.75,1.0,0,0,3,7,1010,640,98011,1840,8550,260000,38
4,1.75,1.0,0,0,3,7,1010,640,98011,1840,8550,470000,38
3,2.5,2.0,0,0,4,10,2410,0,98052,2310,8212,700000,26
3,1.75,1.0,0,0,3,8,1520,0,98092,2180,7506,249000,30
3,1.75,1.0,0,0,4,7,1070,980,98136,2050,16083,568000,38
4,1.0,1.5,0,0,4,7,1720,0,98107,1580,3784,500000,111
5,2.5,1.0,0,0,4,7,1270,1120,98058,1800,8000,358000,35
3,2.5,2.0,0,0,3,8,1680,0,98092,1860,7257,225000,21
3,1.0,1.0,0,0,4,6,1060,0,98056,1090,6694,275500,34
3,2.5,2.0,0,0,3,8,1860,0,98034,2050,3375,495000,14
5,2.25,1.0,0,0,3,8,960,790,98105,2580,5000,758800,75
3,1.75,1.0,0,0,4,7,1480,0,98042,1450,7939,280000,30
3,2.5,2.0,0,0,3,8,1900,0,98055,2100,7361,380500,21
7,4.5,2.5,0,2,5,11,4760,1450,98109,2940,5400,3200000,105
3,1.75,1.0,0,2,3,7,1090,350,98168,1710,12888,260000,57
4,2.5,3.0,0,0,3,8,1910,0,98107,1520,3888,630000,1
3,2.0,1.0,0,0,5,7,1210,800,98103,1770,4000,875000,100
3,1.0,1.5,0,0,4,6,960,0,98118,1380,5175,457500,88
2,1.0,1.0,0,0,3,7,1240,0,98102,2080,4400,900000,61
2,2.0,1.0,0,0,4,6,740,130,98118,1640,5775,235000,61
3,2.0,2.0,0,0,4,8,1400,0,98070,2390,56628,410000,34
3,3.0,1.0,0,0,3,7,1230,620,98028,1970,10000,355000,34
4,4.0,2.0,0,3,3,10,3180,1090,98029,4280,5942,1300000,11
3,1.75,1.0,0,0,3,7,1130,1130,98125,2240,8040,467500,67
4,4.5,1.5,0,0,5,7,2690,0,98125,1660,9000,500000,66
4,3.5,2.0,0,4,5,10,2530,250,98166,2724,10634,995000,37
3,1.0,1.0,0,0,3,7,1140,0,98155,1150,8144,277000,59
4,2.25,2.0,0,0,3,7,1990,910,98125,1850,7540,630000,68
5,2.75,1.0,0,0,4,7,1710,1120,98008,2460,10880,628000,55
5,2.5,2.0,0,0,3,8,2560,0,98019,2430,46929,655000,20
2,1.0,1.0,0,0,3,7,940,300,98168,1050,9375,170000,65
4,2.5,1.0,0,2,4,8,2100,0,98023,2310,10425,352500,48
4,2.75,2.0,0,0,3,9,3120,0,98010,2420,25201,615000,18
3,1.0,1.0,0,0,3,7,970,0,98168,1200,6600,165000,50
4,2.5,2.0,0,0,4,7,2300,0,98042,1820,10125,243500,49
2,1.5,2.0,0,0,3,7,850,100,98144,950,1280,304000,12
3,1.5,1.0,0,0,3,7,1210,900,98118,1950,5195,369000,56
4,2.75,2.0,0,0,3,9,2990,0,98052,2990,4837,779950,1
4,2.25,1.0,0,0,5,7,1520,1420,98028,2470,14900,605000,54
4,2.5,2.0,0,0,3,8,1860,0,98092,1990,6825,292500,21
2,1.75,1.0,0,0,3,7,910,910,98115,1730,6050,500007,65
4,2.5,2.0,0,0,3,8,1950,0,98056,1760,5611,449999,15
4,2.5,2.0,0,0,3,8,1890,0,98038,2250,7867,355000,19
4,3.0,1.0,0,0,4,7,1710,1000,98030,2070,9271,258000,48
4,2.25,1.0,0,0,3,7,1090,1060,98028,2150,10480,380000,52
4,3.0,1.0,0,0,3,9,1880,1840,98014,2560,26372,650000,12
4,2.5,2.0,0,0,3,9,2580,0,98038,2410,8403,456500,12
4,2.0,1.5,0,0,5,7,1540,0,98022,1480,10212,259950,67
